iter	Passed	Remaining
675	5231	2507
676	5239	2499
677	5245	2491
678	5253	2483
679	5263	2476
680	5270	2468
681	5278	2461
682	5285	2453
683	5291	2444
684	5298	2436
685	5304	2428
686	5311	2420
687	5318	2411
688	5325	2403
689	5331	2395
690	5337	2386
691	5344	2378
692	5350	2370
693	5356	2361
694	5361	2352
695	5367	2344
696	5373	2335
697	5379	2327
698	5386	2319
699	5393	2311
700	5401	2303
701	5407	2295
702	5414	2287
703	5421	2279
704	5427	2271
705	5465	2276
706	5470	2267
707	5475	2258
708	5481	2249
709	5486	2241
710	5492	2232
711	5498	2224
712	5502	2215
713	5511	2207
714	5515	2198
715	5528	2192
716	5534	2184
717	5540	2176
718	5546	2167
719	5551	2159
720	5556	2150
721	5572	2145
722	5577	2137
723	5583	2128
724	5602	2124
725	5608	2116
726	5614	2108
727	5619	2099
728	5624	2090
729	5630	2082
730	5635	2073
731	5641	2065
732	5648	2057
733	5654	2049
734	5662	2041
735	5669	2033
736	5676	2025
737	5683	2017
738	5690	2009
739	5696	2001
740	5704	1993
741	5710	1985
742	5716	1977
743	5722	1969
744	5728	1960
745	5735	1952
746	5741	1944
747	5746	1935
748	5752	1927
749	5758	1919
750	5765	1911
751	5771	1903
752	5778	1895
753	5784	1887
754	5790	1878
755	5796	1870
756	5802	1862
757	5808	1854
758	5814	1846
759	5820	1837
760	5827	1830
761	5832	1821
762	5839	1813
763	5846	1805
764	5852	1797
765	5858	1789
766	5865	1781
767	5872	1773
768	5878	1765
769	5884	1757
770	5891	1749
771	5898	1741
772	5904	1733
773	5910	1725
774	5917	1718
775	5924	1710
776	5931	1702
777	5937	1694
778	5944	1686
779	5949	1678
780	5954	1669
781	5962	1662
782	5968	1654
783	5974	1645
784	5980	1637
785	6002	1634
786	6007	1625
787	6012	1617
788	6018	1609
789	6024	1601
790	6031	1593
791	6038	1585
792	6045	1578
793	6051	1570
794	6058	1562
795	6063	1554
796	6070	1546
797	6075	1537
798	6082	1530
799	6091	1522
800	6099	1515
801	6106	1507
802	6112	1499
803	6119	1491
